n,scc_low,scc_mid,scc_high,policy_int_cntfc,policy_int_cntfc_low,policy_int_cntfc_high
ISL,-0.0329668097062301,0.0661966876462598,0.3078936525159969,,,
CPV,0.0020611989304397,0.0087209058675818,0.0186209158812607,,,
AUS,2.821966289513558,11.110071043856362,23.473765862467776,,,
AUT,0.067360605803061,2.1866566789144652,6.211931291471856,,,
CHL,0.154555542491166,1.1986301678803144,2.9847269196341712,,,
CZE,0.0358698296811461,1.622330400774983,4.875561519983659,,,
DJI,0.0018615884519708,0.021694952384347,0.0632757769444044,,,
FJI,0.0026176984975201,0.0137968393301556,0.0295824109916669,,,
LAO,0.0290589410832282,0.1712738138793283,0.4159203676971169,,,
MUS,0.0174433137305594,0.1032543591235123,0.2350796642546302,,,
NCL,0.0105082797316154,0.0471495169369554,0.1057994895726498,,,
NZL,0.1370405622440504,0.6543554105723681,1.4838478788361302,,,
PRT,0.3284942794417764,1.2323164918788063,2.708925932433461,,,
SVK,0.0425544546270925,0.7026017523799939,2.038938712304361,,,
URY,0.0527460412109404,0.1892825073329448,0.4155982577823054,,,
VUT,0.0014633740522372,0.0054430882395815,0.0106973500408515,,,
AFG,0.1246587272701868,0.5741571946316599,1.4221946775059218,,,
AGO,0.5422809189012241,2.8320045543876273,7.352764338316195,,,
ALB,0.0367451129624297,0.1473216140411208,0.351150269656463,,,
ARE,1.0506889259358874,11.840608919543168,33.77056560907844,,,
ARG,1.0660977860145413,4.0422662635532935,9.511538556021565,,,
ARM,0.004572562554811,0.0720448528879718,0.2084851034474756,,,
AZE,0.1637215205502353,0.7398344468690697,1.7839763519087335,,,
BDI,0.0099013278222,0.0412466698487139,0.0881917636901309,,,
BEL,0.3199466461960986,2.3525029358359775,6.158521155683416,,,
BEN,0.0220406582595067,0.1469910254764176,0.3569273645120672,,,
BFA,0.0341598126294737,0.3943726017808059,1.175916674324566,,,
BGD,0.4059763330626048,1.7628674522780112,3.765536323480325,,,
BGR,0.0735672770640224,0.4813402078486962,1.2975979720081954,,,
BHS,0.0154944690099383,0.1142745249973075,0.2682665378569677,,,
BIH,0.0144123499872689,0.1265218146609429,0.3411314275373063,,,
BLR,-0.0232235259043467,0.7107850357887762,2.2972228770492373,,,
BLZ,0.0025757621644988,0.0191371904199646,0.0526131585865967,,,
BOL,0.1126808271273294,0.435848751359682,1.017147217028112,,,
BRA,4.030896682294447,19.833752752535418,48.41977717275832,,,
BRN,0.0303599779027218,0.3044314723199065,0.7463137579273795,,,
BTN,0.0153021236207493,0.0590914142699294,0.1343535802341293,,,
BWA,0.0941148722325358,0.5465018370630712,1.3839710584952367,,,
CAF,0.0049526014986962,0.0313327701896449,0.0762009644361656,,,
CAN,-0.9083137060015996,15.818874507934114,50.82052361396503,,,
CHE,0.0330401111044867,2.2443375658977605,6.537613299886622,,,
CHN,21.05245462694455,80.85272064476719,188.34302398208897,,,
CIV,0.0364138859462197,0.2697660788712622,0.674321413582123,,,
CMR,0.0696155597022076,0.4197509968925935,1.0231057870447735,,,
COD,0.0441636885119576,0.240653802926281,0.5488431112908985,,,
COG,0.0418302294477458,0.2824431971746179,0.7706984014612109,,,
COL,1.0191195155860693,4.394269851244356,10.659069940862253,,,
COM,0.0006335738050611493,0.0039268384538773,0.0085393441194356,,,
CRI,0.1107517557645952,0.5440534487274339,1.3201443945216782,,,
CUB,0.0456034358347389,0.2819859861541603,0.6676526528510368,,,
CYP,0.0492766871011461,0.2059389598857853,0.4437610973245963,,,
DEU,1.4207418618552237,15.80218302538407,42.4374984062755,,,
DNK,0.0103219912869762,1.2034747407247015,3.472688731397505,,,
DOM,0.1281571662554076,0.846488005370561,2.250349793593804,,,
DZA,0.7509445882662772,2.952932040567666,6.7664360159941275,,,
ECU,0.2146425579236469,0.8426517407687499,1.9011576180112175,,,
EGY,1.0599910595102449,5.130202852324253,12.297128893401425,,,
ERI,0.0059183843866094,0.0310820529648342,0.0733517794534238,,,
ESP,2.6528469664420755,10.778325256756627,23.823489522020488,,,
EST,-0.0158074735120966,0.1531387365451064,0.5452805752048624,,,
ETH,0.2217223437840652,0.859747949819112,1.8686826270847452,,,
FIN,-0.3968241155764045,1.5820524120488175,5.910485430199192,,,
FRA,2.749999550420635,15.809983876230383,39.49232266498056,,,
GAB,0.0355873023286842,0.2492001547389147,0.6657198388547116,,,
GBR,1.362040056565694,12.793057606671182,33.294043319550674,,,
GEO,0.0186146982793795,0.0964208734146312,0.2367275266748321,,,
GHA,0.0725728909046288,0.5618775477356163,1.474055245757802,,,
GIN,0.0179125191783805,0.1138899517010323,0.2765337137780929,,,
GMB,0.0038434284998875,0.0294834518267223,0.0739748527170716,,,
GNB,0.001335041825786,0.0114773764455865,0.0284511438814148,,,
GNQ,0.062923222838848,0.4256124623581941,1.048099933293292,,,
GRC,0.4372538442835248,1.6723446478395554,3.825516449306591,,,
GTM,0.1340340509036683,0.6586479718230355,1.6402439691356323,,,
GUY,0.0021549834568875,0.0172766053142486,0.0448499540932711,,,
HND,0.0405471639663773,0.2461355708445296,0.6319136212423083,,,
HRV,0.0884354826420958,0.4697305117295686,1.1654917318676818,,,
HTI,0.0085853005514294,0.0507706951928353,0.1139769389892531,,,
HUN,0.1353163337056578,0.838256637532463,2.2346982351716815,,,
IDN,1.157666631002366,7.241315190720102,17.08000147408642,,,
IND,6.573361217268386,49.53513504248035,137.70034058298623,,,
IRL,0.0197914228460001,0.8543733498957895,2.2599173138056616,,,
IRN,1.87452006725166,7.781092751051036,18.33887079408077,,,
IRQ,0.8440939473808223,5.155744159326903,14.14715080436485,,,
ISR,1.0902831698022457,5.008642781158185,11.446570041374944,,,
ITA,2.571573147734772,11.280491932307868,26.663633283552155,,,
JAM,0.0187986936437986,0.0814527478416088,0.1707671409297712,,,
JOR,0.1120846536499794,0.4370113486891556,0.97327168769373,,,
JPN,5.640078287783275,22.515853569872377,49.26647690601724,,,
KAZ,-0.1000944885768054,2.320510854626177,7.596673848599135,,,
KEN,0.1556346924947791,0.6188186541170841,1.3275463061268562,,,
KGZ,-0.0008551713986206727,0.0636173552460498,0.1905879638617889,,,
KHM,0.0279869162780435,0.2668726462699721,0.693672647990077,,,
KOR,1.317663633789779,7.817621126405976,19.449378429546627,,,
KWT,0.6062930508815676,5.694150780989336,16.22701364408853,,,
LBN,0.0928431430207824,0.3652261712382655,0.8395064046971688,,,
LBR,0.0040133043460205,0.0268176136551516,0.0640931490386597,,,
LBY,0.3301283465169132,1.5673067330365873,3.72824355056753,,,
LKA,0.1008779869757569,0.8047178986964811,2.0156060666004216,,,
LSO,0.0033878033574467,0.0156383600328966,0.035135659068052,,,
LTU,-0.0083983236668088,0.3015779314159854,0.9312479855026584,,,
LUX,0.0443434256427531,0.4756860115787345,1.215039265740992,,,
LVA,-0.0087516541791725,0.169769778040419,0.5341882978580922,,,
MAR,0.2509681841319016,0.941469006490222,1.9713063623435936,,,
MDA,0.0037349732147273,0.0294513623268134,0.0740274018824782,,,
MDG,0.0344591113135147,0.1393352369344903,0.287461831735277,,,
MEX,3.635901268580248,14.823256947597828,35.473541904868355,,,
MKD,0.0184047514766818,0.1310135172024253,0.358257520843775,,,
MLI,0.0190762628893057,0.2483731445811567,0.7428681557346607,,,
MMR,0.0854549143620046,0.5876487569852119,1.5084282384192882,,,
MNE,0.0024826548185526,0.0389268320686041,0.1118761258741009,,,
MNG,-0.0657480583497093,0.0889036645316192,0.4441882427966269,,,
MOZ,0.0399867193055176,0.2333420843792027,0.5298452333751843,,,
MRT,0.0099272778266856,0.1315190593445829,0.423865973403876,,,
MWI,0.0409413576066746,0.2077756882197418,0.4880690808431793,,,
MYS,0.7016519319694536,4.786536530569338,12.325461409314594,,,
NAM,0.038853015298778,0.201936511548725,0.5446354725707705,,,
NER,0.0260940094522772,0.3109616033290068,0.9373730887019214,,,
NGA,0.7990677257815184,7.1160420514309894,19.57083620920719,,,
NIC,0.0133031110630908,0.094254890868106,0.2393564588688997,,,
NLD,0.3166548512659295,3.509886801591126,9.38835527502261,,,
NOR,-0.404441175169964,2.5144336774575677,8.31204746711186,,,
NPL,0.0706280524239456,0.3140453244657236,0.726211150860974,,,
OMN,0.2044025858156067,1.948507378490952,5.22236658902393,,,
PAK,0.9583051525548856,6.043768127373231,16.428067550252443,,,
PAN,0.085191628936079,0.6225241782829181,1.6508327532862668,,,
PER,0.5680956830671114,2.1690134789329125,5.110984149165958,,,
PHL,0.4473470403178653,3.089375496460104,7.446707027989341,,,
PNG,0.0309850123526968,0.1370151444627422,0.2932229547920162,,,
POL,0.1684341804280507,3.793459853368659,10.86262458589282,,,
PRY,0.0554000942177219,0.2675883661474442,0.7402278360285837,,,
QAT,0.582274049829724,6.845817153847726,19.78747821432574,,,
ROU,0.1270863754152238,1.0722661873598835,2.900345373855248,,,
RUS,-2.5938849445784995,15.599010025999473,58.51887422130681,,,
RWA,0.0396212731211731,0.1643075898300173,0.3639365782357858,,,
SAU,2.404630657212933,24.481042267274223,69.56108960981265,,,
SDN,0.142104668118546,1.659033903706037,5.1585436101635285,,,
SEN,0.0249004465132917,0.21830345361129,0.5600487330130316,,,
SLB,0.0012885385544613,0.0108390984422679,0.0261120987542929,,,
SLE,0.0068716394978502,0.0523263778185553,0.1286241082827887,,,
SLV,0.0435130301246701,0.2266380770543828,0.5577287589780083,,,
SOM,0.00023797667166880764,0.0019119344069294,0.0043244120259824,,,
SRB,0.0435597588007614,0.3892265585817864,1.0784532729360468,,,
STP,0.0005714307711121333,0.0039767306824842,0.0095364992976246,,,
SUR,0.0042735638393292,0.0376469273725548,0.1020138443733943,,,
SVN,0.0206286258882375,0.360399527225794,1.0344082025964834,,,
SWE,-0.3441327800162572,3.2646727302743894,10.685939444450884,,,
SWZ,0.0079780382858719,0.0326412845197441,0.071900280125854,,,
SYR,0.2940753538687428,1.173318921582975,2.637508170804086,,,
TCD,0.0188793381758085,0.225207106628791,0.6422512981513591,,,
TGO,0.0070047085519063,0.0534534765089706,0.1323131405161057,,,
THA,0.5001607531753554,4.255815295575172,11.661034626182715,,,
TJK,0.0199896657230082,0.0959251349908805,0.2382250892752047,,,
TKM,0.1466987035663541,0.6177352066940326,1.4926786524503872,,,
TTO,0.024293529924587,0.17704045241705,0.425501423347852,,,
TUN,0.184634843949378,0.7539120348153397,1.7529582337925471,,,
TUR,2.0141922843237983,9.435023086117528,23.67005746186631,,,
TZA,0.1655159160860567,0.8257765436923751,1.8853261474966796,,,
UGA,0.1376975815904466,0.6889671920339734,1.5842344222493547,,,
UKR,0.0904252376574669,1.3940163078928025,4.065086760133496,,,
USA,51.46143455352162,219.025202106764,502.9389280534605,,,
UZB,0.2050565675937276,0.7828951152317714,1.895764003485056,,,
VCT,0.0006816352312108794,0.0050233030555116,0.012428524396963,,,
VEN,0.5833024978104506,4.366522393366042,12.087619272594845,,,
VNM,0.3482265898233864,2.0498785399013784,4.794390081087621,,,
WLD,219.77179829009864,800.4249640310228,1783.2490136116066,,,
WSM,0.0004122756005609561,0.0026575828367592,0.0062885270884236,,,
YEM,0.1410850052466533,0.7998671476437232,2.122403174994272,,,
ZAF,1.2497533109987176,5.018646158410404,11.665746546091954,,,
ZMB,0.0699050992777358,0.3322460348249983,0.7999591817137517,,,
ZWE,0.0058022625666802,0.0238063179248336,0.0493722054534795,,,
